Language_ID,Value
viet1252,˩̰
viet1252,a̟ː
viet1252,ɐ
viet1252,ɓ
viet1252,c
viet1252,ɗ
viet1252,e
viet1252,ɛ
viet1252,ɤ
viet1252,f
viet1252,ɣ
viet1252,h
viet1252,ɪ
viet1252,j
viet1252,k
viet1252,l
viet1252,m
viet1252,n
viet1252,ɲ
viet1252,ŋ
viet1252,o
viet1252,ɔ
viet1252,s
viet1252,t
viet1252,tʰ
viet1252,ɯ̞
viet1252,ʊ
viet1252,v
viet1252,ʌ
viet1252,ʌ̯
viet1252,w
viet1252,x
viet1252,z
viet1252,ʔ
mand1415,˥
mand1415,˥˦
mand1415,˧˥
mand1415,˧˨˥
mand1415,a
mand1415,a˞
mand1415,a̟˞
mand1415,ɑ̃˞
mand1415,ç
mand1415,cç
mand1415,cçʰ
mand1415,ə˞
mand1415,ə̃˞
mand1415,ɤ
mand1415,ɤ˞
mand1415,f
mand1415,i
mand1415,j
mand1415,k
mand1415,kʰ
mand1415,l
mand1415,m
mand1415,n
mand1415,ŋ
mand1415,p
mand1415,pʰ
mand1415,s
mand1415,ʂ
mand1415,t
mand1415,tʰ
mand1415,ts
mand1415,tsʰ
mand1415,ʈʂ
mand1415,ʈʂʰ
mand1415,u
mand1415,u˞
mand1415,ɥ
mand1415,ɰ
mand1415,w
mand1415,w˞
mand1415,y
mand1415,ʐ
mand1415,χ
wuch1236,˥
wuch1236,˥˧˥
wuch1236,˦
wuch1236,a
wuch1236,æ̃
wuch1236,b̤̥
wuch1236,d̤̥
wuch1236,ə̟
wuch1236,f
wuch1236,ɡ̤̥
wuch1236,h
wuch1236,ɦ
wuch1236,i
wuch1236,ĩ
wuch1236,j
wuch1236,k
wuch1236,kʰ
wuch1236,l
wuch1236,m
wuch1236,m̩
wuch1236,n
wuch1236,ŋ
wuch1236,ŋ̩
wuch1236,o̞
wuch1236,õ̞
wuch1236,p
wuch1236,pʰ
wuch1236,ɻ
wuch1236,s
wuch1236,t
wuch1236,tʰ
wuch1236,ts
wuch1236,tsʰ
wuch1236,tz̤̥
wuch1236,u
wuch1236,v
wuch1236,w
wuch1236,y
wuch1236,z
wuch1236,z̞̩
wuch1236,ʔ
hakk1236,˥
hakk1236,˧
hakk1236,˧˩
hakk1236,˩
hakk1236,a
hakk1236,æ
hakk1236,ɛ
hakk1236,f
hakk1236,h
hakk1236,i
hakk1236,j
hakk1236,k̟
hakk1236,k̟ʰ
hakk1236,l
hakk1236,m̩
hakk1236,mb
hakk1236,nd
hakk1236,ŋ̩
hakk1236,ŋɡ̟
hakk1236,ɔ
hakk1236,p
hakk1236,pʰ
hakk1236,s
hakk1236,t
hakk1236,tʰ
hakk1236,ts
hakk1236,tsʰ
hakk1236,u
hakk1236,w
hakk1236,z̞̩
hakk1236,ʔ
yuec1235,˥
yuec1235,˥˦
yuec1235,˧
yuec1235,˧˩̰
yuec1235,˩
yuec1235,a
yuec1235,æ
yuec1235,f
yuec1235,h
yuec1235,i
yuec1235,j
yuec1235,k
yuec1235,kʰ
yuec1235,kʷ
yuec1235,kʷʰ
yuec1235,l
yuec1235,l̥
yuec1235,m
yuec1235,m̩
yuec1235,n
yuec1235,ŋ
yuec1235,ŋ̩
yuec1235,ɔ
yuec1235,p
yuec1235,pʰ
yuec1235,ʃ
yuec1235,t
yuec1235,tʰ
yuec1235,t̠ʃ
yuec1235,t̠ʃʰ
yuec1235,u
yuec1235,w
iumi1238,˥˦
iumi1238,˦
iumi1238,˧˨ˤ
iumi1238,˧˩
iumi1238,˨˧
iumi1238,˩̰
iumi1238,a
iumi1238,aː
iumi1238,æ
iumi1238,b
iumi1238,c
iumi1238,cʰ
iumi1238,d
iumi1238,dz
iumi1238,e
iumi1238,f
iumi1238,ɡ
iumi1238,h
iumi1238,i
iumi1238,j
iumi1238,j̥
iumi1238,ɟ
iumi1238,k
iumi1238,kʰ
iumi1238,l
iumi1238,l̥
iumi1238,m
iumi1238,m̩
iumi1238,m̥
iumi1238,n
iumi1238,n̩
iumi1238,n̥
iumi1238,ɲ
iumi1238,ɲ̥
iumi1238,ŋ
iumi1238,ŋ̥
iumi1238,o
iumi1238,ɔ
iumi1238,p
iumi1238,pʰ
iumi1238,s
iumi1238,t
iumi1238,tʰ
iumi1238,ts
